Author,Reviews,Location,Ratings,Review Title,Review Text,Date of Experience
John Donald,32,GB,5,Ease of carrying out transaction and…,Ease of carrying out transaction and reasonable charges.,2023-09-16
Shaba,1,US,5,App's usability had great improvement,No review text,2023-09-29
Stephanie,1,US,5,It was quick an efficient.no hassle the…,It was quick an efficient.no hassle the rate is good easy pick up for my daughter .we love money gram period.,2023-09-29
Abu,2,GB,5,Very reliable and simple system to use,No review text,2023-09-23
Zobair Ahmad,1,US,1,Money gram app is not working on iPhone…,Money gram app is not working on iPhone devices !!!!!!!,2023-07-06
Malina,1,GB,5,That’s great I love that but a little…,That’s great I love that but a little expensive it’s so quick,2023-10-02
DEBRA L BLACK,8,US,5,Simple and easy to get the funds you…,Simple and easy to get the funds you may need.,2023-09-29
Andrew,2,GB,5,App is very easy to use.,App is very easy to use.Makes transfers easy.,2023-09-30
Pedro,1,US,4,Overall good but a but expensive,It's quick and easy it just sucks that due to my family not having a bank I have to dish out more money,2023-09-30
Jacinta,1,US,4,"Quick, and easy",Quick & easy but a little pricey,2023-09-10
l. B. ,5,GB,5,Ionel B,Great services,2023-10-02
S_A,10,GB,5,Speedy,Speedy. Easy to use.,2023-09-25
Daniela,2,US,5,Love to send money through the app!,Love to send money through the app!! Easy way to do it and they received the money just in minutes,2023-09-28
Damian,1,GB,5,Very good and easy,No review text,2023-10-02
Muhammad,1,GB,5,Very good happy fast,No review text,2023-09-28
Paula,1,US,5,It was really Easy to do,No review text,2023-10-02
Nick,1,AU,5,All good  I’m happy to send my family…,All good  I’m happy to send my family overseas,2023-10-02
Tee,2,AU,5,Prompt with clarity in resolving money transfer issues.,Great at resolving money transfer issues...got fully refunded for an incorrect money wallet phone number.Thank you.,2023-09-06
Ibrahim,1,AU,1,Perhaps I could give you zero star…,Perhaps I could give you zero star ..such a pathetic service . My account is blocked for no reason,2023-10-02
Donantela,2,US,5,You are amazing,I’m so happy with money grams,2023-09-24
Reving Amedi,2,GB,1,Not recommended. Extra hidden charges,"The receiver of the sum I transferred to in Iraq was given the sum in (Iraqi dinars) currency despite of my chosen option of (US dollars) currency on MoneyGram's website. My transfer receipt clearly stated the receiver should be able to collect the sum in (US dollars), at the collection point (in city of Erbil in Iraq) the receiver was given the sum in (Iraqi dinar) and the receiver was asked to sign the collection document which stated that (MoneyGram) handed over the transfer sum in (US dollars)! This is simply an indirect robbing of an extra percentage by the collection point and by MoneyGram.",2023-09-18
Jacqueline,1,US,5,All transactions very fast,No review text,2023-09-26
Charles,3,US,1,"MoneyGrill, MoneyBordel, MoneyGram","MoneyGramThis company never respect their clients and act like MoneyBordel.Looking to have your account CLOSED without any explanations MONEYHELL is here to drive you crazy.MoneyGram closed my online account for no apparent reason. Their excuse is that their Security system was uncomfortable processing my last transaction. While unable to give me specifics details when and where the last transaction was made. While insisting that I proceed with future transactions in store. The last transaction I know I made was in store. Which means that my online account got closed due to me making an in-store transaction. While they insist, I make any future transaction in store. Unable to provide details for closing my account other than security reason, no details on what raise the red flag when I sent money to my wife in store using MoneyGram. I'll stop using MoneyGram and I'll recommend Western Union, Wise, PayPal... but never MoneyHell...",2023-10-01
Vilikesa Shaw,2,AU,5,All Good,I'm try to send money but it di not go through it say access token expired 😕,2023-10-01
Kolinio,1,AU,4,Bit  disappointed sometimes,No review text,2023-09-27
Hawa,1,US,5,Fast picking up,No review text,2023-09-19
Mary,2,US,5,The app is easy and convenient to use.,No review text,2023-09-30
Lupeni,1,AU,5,It's so easy and quick to be…,It's so easy and quick to be registered. Money was received in Fiji after a few minutes.,2023-09-28
Tonia,1,US,5,Well ur services are good affordable,"Well ur services are good affordable, sending prices are low, but u have too much problems with account and stuff",2023-09-30
Jeevan Singh,1,GB,4,Good very good,No review text,2023-09-30
Nawzad galnaski,3,GB,1,Don’t send money to Duhok Kurdistan…,Don’t send money to Duhok Kurdistan because it’s dodge office there,2023-09-20
Marvalon,1,GB,4,Ease of transaction,It was relatively easy to carry out the transaction in the comfort of my home without any hassle.,2023-09-30
Adriana,2,US,1,I couldn’t send money to any location,No review text,2023-09-28
Filomena,1,US,4,I did my transfer online and it was…,"I did my transfer online and it was easy, fast and secure",2023-09-16
Hemali,4,GB,4,"Reliable, fast and easy","I have been using MoneyGram for over 8 years. A very reliable source of sending money. fast, reliable, easy",2023-09-26
David,1,CO,5,All transactions are done quickly and…,"All transactions are done quickly and with no problem. But I should get a bonus one in while, have never gotten one and I have been a long time user.",2023-09-21
Roland,1,US,5,My money was delivered quickly and in…,"My money was delivered quickly and in time,  sending becomes easier with Moneygram.  Great service",2023-09-16
Zdravko,1,US,5,Simply the best.,No review text,2023-09-19
Candelaria,1,US,5,Fast service efficient,No review text,2023-09-17
Mohamad,2,US,5,Fully satisfied,"Simple app, easy to use and quick service",2023-08-07
Scott,1,US,5,It's very easy to use MoneyGram,It's very easy to use MoneyGram. Effortless,2023-09-26
Andrew,1,AU,5,I have it easy to use,I have it easy to use & besides what I have read it has been great for us to get money to family in Fiji. Reliable & fees not bad,2023-09-27
Yvonne Segopolo,2,GB,5,Reliable,"Reliable, excellent, perfect and quick",2023-09-13
Onah,1,GB,5,Excellent!,No review text,2023-09-25
Margaret,1,AU,5,It's a good rate and is very fast…,It's a good rate and is very fast service  money gram is my one favourite money transfer overseas,2023-09-29
Roberth,1,US,5,Very easy use your platform...I'm super…,Very easy use your platform...I'm super excited to have a 100% company really reliable. I like tha app.I'm satisfied. Really good,2023-09-28
Pretika,1,US,4,It easy and it has the history of…,It easy and it has the history of people you have to send  money so you can easily send with one click .,2023-09-28
Luz,1,US,5,Excellent service please don't change 🙏…,Excellent service please don't change 🙏 😀,2023-09-21
Deolindo,2,GB,5,Good,Very good i like thus app,2023-09-29
Emile,1,US,4,Fast and secure money transfer,No review text,2023-08-25
Khan Khan,5,GB,5,Best good service always easy and…,Best good service always easy and straight forward from the app on your phone or the branch,2023-09-01
Sharon,3,US,5,Easy to use,Easy to use. Got money quickly,2023-09-28
John,1,US,5,Professional attitude and expedited…,Professional attitude and expedited transaction,2023-09-04
Foward,1,GB,4,Online Money Transfer,You have made international money transfers to be so easy by doing it from the comfort of my home. Your cash pickup points in Zimbabwe are accessible and easy to use. Keep it up.,2023-09-23
Dhanraj,1,US,5,It’s always very easy to send money to…,"It’s always very easy to send money to your loved one , I think moneygram made it easy, this app rocks I love it , I regret I didn’t use it earlier.",2023-09-23
