Author,Reviews,Location,Ratings,Review Title,Review Text,Date of Experience
Uha,1,TO,5,I totally understand that rates are…,"I totally understand that rates are fluctuating from time to time, what i like MG the most is that its fast and secure. How ever this is my very first time to have an account and is able to send money internationally. Apart from unstable internet connection i made so many attempts in creating my account due to errors. Finally im able to use it, what i fear is the fact that my family and friends back home where i send money to, have been once or twice blocked from receiving money on Money Gram without knowing why.  Therefore, i would like to know your reasons for those problems, as overcome by one of my friends, he was already sent money, but told by the teller that his named os blocked. The sender had to wait for a week or 2 until it got refunded to be send to another person. However the blocked person waited for 3 months until his name was unblocked due to the help of a BSP banker. please clarify on that. ",2024-05-23
Rene,1,US,5,I have not encountered any issues…,I have not encountered any issues whatsoever.  Everything has go e smoothly so far on my side qnd the recipients side.  Coverage for money pickups are many and secured.  My wife usually picksup the money at one of the many local banks. ,2024-05-09
Runi Saad,10,GB,5,Moneygram is a good and reliable company ,"Moneygram always my favourite company when I transfer money to my friend and family. Never had any issues, money always arrives on time, good rate, cheaper transfer fee. Happy with the service. ",2024-05-19
NK,1,AU,5,Convenient and efficient,"Quick and simple transaction via the App, very good exchange rates, low fees, end to end tracking and updates, easy to link to debit card. Definitely recommend them!",2024-04-30
Sambamwani,1,GB,5,You have been so much helpful as the…,You have been so much helpful as the recipient in desperate situation received the money as quick as possible ! Thank you for being there ,2024-05-23
Miguel,1,AU,5,I am very grateful to Moneygram,"I am very grateful to Moneygram, because the money I sent to my family in Timor Leste was received well.I am very grateful and proud of this application",2024-05-21
Anand,2,GB,5,It was wonderful 😊,"It was wonderful, easy, and convenient. Extremely very fast and competitive exchange rate. Completely reliable and secure. Verification process also very easy and fast. I definitely recommend it. Please try to utilise the promotion rate, it is really remarkable.",2024-05-16
Anita,1,US,4,Making repetitive transfers easy,Making repetitive transfers easy. I haven’t been able to pay by bank transfer directly from my bank account for the last 3 transfers. Instead I had to use my debit card. Bank transfer is a cheaper method for me. ,2024-05-15
Rev. E. Mustapha ,5,GB,3,Mixed feelings ,"The pick up aspect of money gram works very well. It’s also easy to send money . However, the mobile money payment system is terrible and therefore unreliable . My money has been unpaid and returned on several occasions. MoneyGram needs to revamp the payment into mobile wallet to get a 5 star for me ",2024-05-23
Sujan,1,AU,5,Direct send money to my bank account ,I can direct send money from Australia to my Bangladesh bank account easily within 2 days.great experience ,2024-05-23
Darwin,1,GB,5,Awesome and timely transfer....5 star…,Awesome and timely transfer....5 star service....efficiency is spot on too....I will use this service every time once possible. ,2024-05-18
David,1,GB,5,NO PROBLEM SENDING MONEY VIA BANK OR…,NO PROBLEM SENDING MONEY VIA BANK OR DEBIT CARD NO FEES FAULTLESS TRANSFER EVERY TIME ,2024-05-21
Svenja,1,DE,3,Useful and fast when working,"When it worked it was easy and the money was really fast at the other persons account, but it took me more than one hour to get it done as the page was not working well at all. Loading forever (internet was perfect), saying its disponible right now and so on…",2024-05-24
Anneta,1,US,4,You make it easy to send money to our…,You make it easy to send money to our family bank home and the payment is more than what others are giving so if you keep that up I'll say loyal!!.,2024-05-09
customer,2,US,5,Instant access,I’m please with ability to to do my transactions via your app. Is extremely easy and efficient in the comfort of my own home. ,2024-05-20
Sihle,1,US,4,I love the efficiency and so easy to…,"I love the efficiency and so easy to navigate interface, however I was disappointed that I could not transfer into my bank account in Eswatini,  there is no feature for that on my App. I also love the notifications from my email once pickup has been done",2024-05-20
Avia,1,US,5,"This is a great  company,they are…","This is a great  company,they are courteous,and  they provide excellent service I never had any issues with them I will recommend this company to my friends and family.",2024-05-07
Paul Strong,2,MX,1,"Never received money, moneygram refuses to help for 90 days.","Never received money, MoneyGram is holding it for 90 days. I transferred 772 usd to myself in Mexico like I have done on many occasions before, except this time I never got the money. When I called customer service to complain they said that their records show that it was transferred and that there was nothing they could do for now. They said they would initiate an investigation but it could take up to 90 days to get any resolution. Even after talking to a supervisor explaining that we really needed the money they callously just said we'd have to wait 30-90 days.Turns out this has been a standing practice of theirs. Just checkout BBB reviews, don't trust the good rating on TrustPilot!",2024-05-22
Semone,2,US,5,Excellent Service ,"MG customer support is amazing, the services are fast and safe and you are protected. My family and I love them. ",2024-05-22
Mike,1,US,3,The main reason I am using Moneygram is…low fees on bank account money transfer.  I hope you will open this option again. ,The main reason I am using Moneygram is to send money to my family.  So low fees on Bank account transfers was excellent option for me.  Otherwise I like moneygram service.  Thank you.,2024-05-13
Raquel,1,US,5,I can always depend on money gram when…,I can always depend on money gram when my family and loved ones need my assistance! You guys always come trough with no hassle! Thank you!,2024-04-17
Jean,2,US,5,Money always reach on time ,Money always reach on time . No problem at all great service. Already recommended my family and friends to use money gram.Keep up the great work,2024-05-22
 Juanita Wilson,5,GB,3,International payment ,I made a direct bank to bank transfer from the UK to the USA.  Transfer was cancelled after 3 days with no explanation which would be very helpful for the future. Pick up transfers to the Caribbean I have no problems with . ,2024-05-11
Sharon,1,GB,5,By following simple steps I could…,By following simple steps I could transfer the money to my family and it took 24 hours ,2024-04-07
Karen,1,IM,5,"It was more than perfect ,fast ","It was more than perfect ,fast , Reliable, and safe, thank you so much!!! You help me a lot with my family abroad ",2024-05-03
Oldemar,1,US,5,We always can relay in moneygram,"We always can relay in moneygram, best app. Right now, my people received the money just two minutes after We sent it.",2024-05-03
Michael V,2,US,5,Lots of pick up points,Let's me send and receive money while I am in the Philippines.  Works well. Lower rate then competition. Saves me money. Lots of places to pick up the cash.,2024-05-22
Adrian,1,US,2,Unable to send directly to a bank account,The first few transfers went great! Then I tried to send money again and it does not give me an option to send directly to the receivers bank account very disappointing! ,2024-05-17
Nancy,1,US,5,It very easy and efficient for me to…,It very easy and efficient for me to send money i truly appreciate you guys service it’s extremely excellent service and customer care great job,2024-05-22
Joseph,4,US,1,Terrible service,"Terrible service, still holding up my transaction! When I call they are rude and stupid! I won’t be using this service again! And I am supposed to be a premier customer! Not!",2024-05-21
Mirela Oprea,1,GB,1,The worst experience ,"The worst experience i ever had,i ve send 7000£with moneygram abroad and they take my money,never send it to the reciver ,keep my money for 16days and after a lot of calls  the was keep saying they didn t take my money,i contact the bank i wait 16 days and in the end i recive my money back from moneygram ...Surprise...the money come back from them and they was keep saying didn t have my moneyAny way ...i sm not happy with this moneygram and i not recomand it to send money with them",2024-04-30
Errol,2,US,3,Website a little difficult to…,"Website a little difficult to navigate—could be more user friendly:Suggest modifying the user interface—increasing transaction pages. At present, too many activities required on one page.",2024-05-10
Vince Trinh,5,AU,5,Great and professional services,Great and professional services. Quick and ontime manner with low fee. Highly recommend,2024-05-23
Julian,2,GB,5,Super easy to use,Super easy to use. I sent money to West Africa and the whole transaction took less than 10 minutes. Perfect.,2024-05-17
Nikola Nikolov,3,BG,5,Fastest services,"Fastest services, with great discounts, good rates and low fees ",2024-05-20
Luseane Singh,1,US,5,Thank you for your services I do…THANK YOU.,Thank you for your services I do appreciate. Keep up the good job.,2024-05-22
Mary l Bolt,4,US,5,Your experience was felt great because…a great customer service experience,Your experience was felt great because you serviced US during a hard time you're not being separated you know so far my husband will be coming home Friday or Saturday and I'm gratefully appreciative of all of the service and help that you provided Us in doing that to bring our family together.,2024-05-22
ELENA NICOLAE,2,GB,5,Sent money and my friends received vrt…,Sent money and my friends received vrt quick and without problem.  Thank you Moneygram!                     Elena ,2024-02-15
Spooner B,3,US,5,The whole deal was easily done very…,The whole deal was easily done very good experience 👏 ,2024-05-04
Hassan,1,GB,5,Indeed,"Indeed, MoneyGram is the best company. Transfers. You go at the same time. Thank you very much.",2024-05-23
Genara mangas gormley,1,AU,5,Moneygram fast and reliable,"Moneygram i am your client for long,very fast and reliable ",2024-05-02
saurabh verma,3,GB,5,Excellent rates and service,Excellent transfer services and comparative rates provided. Recommended to others looking to transfer the hard-earned money to their native countries 👍🏻,2024-05-18
Carmencita ,4,GB,5,It's is great services on line with…,It's is great services on line with money gram I use them for many years to send money to help the expenses of my dad in another country....,2024-05-09
Chris,4,US,5,This is very convenient fast easy…,This is very convenient fast easy understanding and always keeps you updated on every transaction ,2024-05-20
Eustace,1,US,5,Great value for the service,Great value for the service. Gonna recommend you to family and friends. ,2024-04-26
omaima Elsayed,3,GB,5,It’s amazing how easy and fast to…,It’s amazing how easy and fast to transferred to someone you love ❤️ ,2024-05-12
Hugo McGowan,4,GB,1,This service is woeful,This service is woeful. I have spent three hours trying to move money to Greece from the Uk and failed spectacularly. I have now lost the will to live and deleted the app. Their customer support is hopeless. If you want a thrombosis try Moneygram! ,2024-05-17
Chantel,1,US,5,I love how having the moneygram app…,I love how having the moneygram app makes it easy to send money to my son ,2024-05-22
Ribens,1,US,5,Everything except the fees compare to…,Everything great except the fees compare to other ….,2024-05-21
Lukas,12,GB,5,Very simple to use and competitive fees,No review text,2024-04-23
Robert Adams,10,GB,5,Hassle free transfer,Hassle free transfer. The money arrived in my sister's account within minutes. I had a confirmation email.,2024-05-14
Rayon,4,GB,5,The app was easy to use,The app was easy to use. Fast and effective service. ,2024-05-17
Shaleen�Maharaj,3,US,3,I liked it before with MoneyGram fees…,I liked it before with MoneyGram fees was $4.99 now it went up to $8.99. I don't understand one time I paid $4.99 and after few weeks paying $8.99. How can fees go up and down? Why can't just have one fixed fees?,2024-05-20
Meldagar,1,GB,5,The online Moneygram service was great,No review text,2024-05-23
Elizabeth,1,US,5,I have a great experience with money…,I have a great experience with money gram,2024-05-13
Denzil,1,GB,5,"Hi MG,I am loving what you are doing for us. Me and my kids thank you 🙏🏿 ","My experience with Money Gram international, I should send money for my kids and did not remember to do it. And usually I use the next company WU. My sister introduced me to send the money to her bank account 🙄 I was like can I do that. She say yes from that day MG all the way.from me to my kids like ⚡️⚡️⚡️⚡️⚡️⚡️loving it.⭐️⭐️⭐️⭐️⭐️⭐️💯",2024-05-04
S Ba,2,US,1,Good company but bad customer service , I am old customer with them In the last three months after they approved it and taken the money from my bank they cancele the transaction .  In top of that they hold the money for 10 business days. ,2024-05-20
Tahir,2,GB,1,Scamming company I've been sent money…,Scamming company I've been sent money by my wife as I had to come abroad but its day four today but still not received money avoid these scammers ,2024-05-11
Teresa Bryan Harris ,2,US,5,At Sending made simple! At first it was confusing but after a…,At first it was confusing but after a few times it became easier and I love being able to just go in and send it each month to way it was already set up the month prior. ,2024-03-07
Mr.Garnett,1,GB,5,The service was straight forward and…,The service was straight forward and easy to use. ,2024-05-17
Ann-Marie,1,US,5,I got to send the money with ease and…,I got to send the money with ease and the comfort of my home in five minutes or less. Thanks money gram ,2024-04-25
Patrick Izana,3,GB,4,It went well,It went well. Good customer service ,2024-05-23
Charisse,1,AU,5,Safe and secure,Every transaction that I made from moneygram was great coz Ive never experience any trouble from the start that I send my money to someone and I feel secure from the service that I receive. For me having my money send it to someone and it was a big amount and also Ive worked so hard on it that I know that they make me sure that it was safe and it will deliver to my love one is a big relief and secured. ,2024-03-12
Hoda Sarwat,1,US,1,MoneyGram's Customer Service Nightmare,"I've never experienced such incompetence and disregard for customer satisfaction until I dealt with MoneyGram. After a transaction went awry, I've spent countless hours on the phone, speaking to representatives like Kevin and Erica, only to be met with empty promises and excuses. Despite numerous calls to customer service, each time I was met with the same scripted response as if my concerns were never addressed. It's infuriating to be left in the dark, with no resolution in sight and no further information provided. MoneyGram's abysmal customer service has left me feeling utterly helpless and betrayed. Avoid at all costs unless you enjoy wasting your time and money on a company that couldn't care less about its customers.",2024-05-15
Sulieti,1,AU,5,I trust this because very  fast to my family to received ,I trust this because very  fast to my family need ,2024-04-26
Kattia,1,US,5,Satisfied Long Time Customer,I’ve never had any issues using this service for international transfers. ,2024-05-22
Mohammed,3,GB,5,Hi there ,Hi there MoneyGram service is very good Communication is excellent ,2024-05-23
Barbara,1,US,2,I'm not able to used my apps since may…,I'm not able to used my apps since may so I have to go online and sometimes it's not easy ,2024-05-04
Eugenia,2,US,5,Exchange rate better than other…,"Exchange rate better than other providers, fees very affordable and service exceed my expectations. ",2024-05-15
Abida,2,GB,2,Money is not on time,"Money is not on time, as they said 2 working days, but money is not there yet on third day",2024-05-23
ALI TOUHAMI,17,GB,5,Easy and fast delivery,No review text,2024-05-08
Omar,1,US,5,Nice service thanks moneygram.,No review text,2024-05-22
Louisiane ,11,GB,5,MoneyGram always easy to used.It always very easy to send money using…,It always very easy to send money using MoneyGram. The rate for sending money are always low. It so easy for my family’s to pick it up also. I will always recommend MoneyGram to my friends and families.,2024-04-24
Anne Wilson,32,GB,5,When l use Moneygram to send to friends…,When l use Moneygram to send to friends and family abroad it is a pleasure that there's never a problem on collection So this is the ideal way for me Thankyou,2024-04-04
Driton,1,US,1,You are not going parallel with the…,"You are not going parallel with the Dollar to Euro exchange, you are always 2 dollars less, the first, the second, I had filed a complaint with your company for a transaction that I had sent somewhere around 7 dollars converted into euros, my family members received less  , you were good once as I am also a regular customer",2024-03-09
Anonymous,1,GB,5,Quick and effective way of remittance,No review text,2024-05-17
Keith winchurch,1,GB,5,It is so easy to send money to support…,It is so easy to send money to support my girlfriend  in thailand and so fast thanks.,2024-05-11
Filisia,1,US,5,Fast,"Fast, easy and reliable",2024-05-21
Myrtel,15,GB,5,when i sent a tranfere they recive it…,when i sent a tranfere they recive it without any problem money gram is very good and efficient i would recommend  it anytime ,2024-05-01
Carol,1,GB,4,The transaction went well,The transaction went well ,2024-05-03
Jennifer Nana,1,GB,5,Good exchange rates but charges after…,Good exchange rates but charges after free offer may not make it attractive anymore to me ,2024-05-02
Josefrino,2,AU,5,Money gram  make it so easy to send…, Money gram  make it so easy to send money home. I love money gram services.,2024-05-13
MG,20,GB,5,Great service,Great app and will use again when required ,2024-05-21
Abdoul Bouda,2,US,3,"You removed ""send using bank account""…","You removed ""send using bank account"" feature. This penalized sometimes. ",2024-05-01
Jamal,1,GB,5,Great service,Great service ,2024-05-23
Miss. Jacqueline  Grant,7,GB,5,The international transfer was easy and…,The international transfer was easy and smooth to complete. I had no problems setting it all up and the receivers had no problem. Definitely recommend the service and will re-use. ,2024-04-15
Mohammad,4,GB,5,Excellent service,"Excellent service,  download the app. and send money through the app. At any times , but sometimes service gets down for long time.",2024-02-14
Maria,1,US,5,Thank you so much for making it easy,"Thank you so much for making it easy, secure, and truly seem less 🙌🏼",2024-05-14
Charanjit,1,AU,5,So fast need are fulfilled on time,No review text,2024-05-20
Mr Zevo,3,GB,5,Good service,"Good service, quick ",2024-05-18
Sam,1,DE,5,Everything was accurate,Everything was accurate ,2024-05-23
Nick,7,GB,1,Ignores report of a scam,"Ignores report of a scam, says he’ll escalate it, yet has not been given any details apart from having told him a scam has happened.",2024-05-06
Hamza,1,GB,5,Very good performance,Very good performance ,2024-05-24
Kamlesh,9,GB,5,Very good service.,No review text,2024-05-23
Mark,1,PH,2,So I sent myself £2000 pounds 143k…,So I sent myself £2000 pounds 143k pesos To the Philippines for holiday experiences..When I went to collect the money I was told that they could not give me the money at palawan as i requested Because they could only give up to 100k on my passport. After many phone calls and checks i got the money but it took 6 hours ....so glad i didnt send more to myself .Why allow me to send from uk if you only honour up to 100k peso ? ....disappointed...you nearly ruined my holiday ,2024-04-16
Luis E,1,US,5,Good service,Good service ,2024-05-22
Alan,7,GB,5,Quick and easy to use App.,Quick and easy to use App.Asks pertinent questions to safeguard from scammers and fraudsters ,2024-05-02
Ma,1,US,5,Good tranfer,No review text,2024-05-22
Sherrie S,1,US,5,The employees I have dealt with are ,The employees I have dealt with are eager to help always. I enjoy working with positive people.,2024-04-17
Mo,1,JE,4,Provide an alternative for cancelled…,Provide an alternative for cancelled transactions. Give the option to have the money transfer that was cancelled to be reactivated with the consent from the sender. ,2024-04-02
Desmond Samuel Davies,4,GB,5,Fast and reliable,Fast and reliable ,2024-05-19
Safiullah,2,AU,5,Fast transfer ,Fast and save transfer ,2024-05-14
Ionela Ursachi,8,GB,5,Very useful and reliable service ,Very useful and reliable service ! Is the single app which I am using it to send money abroad. Thank you very much for your services !,2024-05-02
A Green,7,GB,5,Easy to use and make transfers to loved…,Easy to use and make transfers to loved ones abroad. To assist them financially whenever needed ,2024-05-02
Emran J,1,GB,1,Worst app too much buggy and the website is garbage ,Worst app and the website is garbage as well it won't work. Has to many glitches ,2024-05-22
Kevin Moore,6,GB,1,I would  give them zero as they shut my…,I would  give them zero as they shut my account down  almost straight away.A very disappointing  experience. World remit is a much better  user experience. ,2024-05-02
Heidi,5,AU,5,Great service,Great service. Highly recommend ,2024-05-23
A watson,7,GB,5,Always quick and easy to use and be…,Always quick and easy to use and be able to send urgent money to family members ,2024-04-16
Ellen,1,AU,5,Fast and reliable,Fast and reliable ,2024-05-23
Greg Taylor,15,US,5,Easy to use and trustworthy ,Easy to use. A trustworthy and reputable application that I use with confidence and trust.,2024-05-01
Ida,1,US,5,I love this company because they are…,I love this company because they are very efficient and have great service ,2024-04-26
Alexandru,2,RO,5,I am very pleased with the service.,I am very pleased with the service.,2024-05-22
Jay,1,GB,4,Good service MoneyGram,No review text,2024-05-23
Oscar,2,US,5,Rapid and excellent service,Rapid and excellent serviceEfective too,2024-05-13
Sadonna,1,GB,5,The service is excellent and I feel at ease knowing that all my transactions are efficient ,The service is excellent and I feel safe sending money with your company.,2024-04-28
Althea,6,US,5,Very easy and convenient but the…,Very easy and convenient but the exchange rate could be better. ,2024-04-05
Tony,2,UZ,3,Always had great service but you…,Always had great service but you stopped online banking transactions and it's a big problem for me. Please restore it.,2024-04-01
Nicky Hamilton,2,JM,5,No difficulty with the transaction.,No difficulty with the transaction. ,2024-05-01
Rivaldo,1,GB,4,Its good use this app i really like it…,Its good use this app i really like it to use,2024-05-23
Mr Osoko Otadende,5,CD,4,The money was received on time,No review text,2024-04-29
Arnaldo,1,GB,5,Great and i like to use the money gram,Great and i like to use the money gram ,2024-05-23
Jose,2,US,5,I love how easy it is to send blessings…,I love how easy it is to send blessings to families and friends. Thanks MONEYGRAM. ,2024-04-26
Lovelyn,3,GB,5,Fastest and easiest way to send money home,"I love MoneyGram exchange rate in my country, it's the highest. ",2024-05-03
Anne,1,AU,4,Fast,I'm happy with your service. ,2024-05-20
Piyush,1,GB,3,It’s very good Aap it’s easy to send…,It’s very good Aap it’s easy to send money  because my grandfather was used money gram it’s very old so I can trust them ,2024-05-02
JM,8,GB,5,The money transfer was completed instantly!,The money transfer was completed instantly!Great service!,2024-05-01
Monica Aryeetey ,11,GB,4,Sending money with money gram was excellent …,"I had a great experience with sending money to Ghana, it was quick and efficient ",2024-04-28
Pauline,1,JM,5,it was a good experience sending money…,it was a good experience sending money with you enjoy it,2024-04-28
Florence Peregrino-Peters,2,GB,5,Service reliable,"Service reliable, easy to use and prompt delivery of funds",2024-05-01
Merle,1,US,5,Excellent  money transfer swrvice,Online money transfer is easy to navigate and  fast and reliable service. ,2024-05-04
Hellen,1,US,5,Very fast and easy steps when doing the…,Very fast and easy steps when doing the transaction ,2024-05-03
Spoiledurfoot Trend,1,CA,1, refused to fulfill his service coz his feelings was hurt ,"My sender sent me a screenshot, On April 25 saying the money was deposited in the receiver account which was, not,  I emailed MG  on April 26 inquiring about it, and MG sent me a response, saying they were not comfortable wiring the money to me he is sending it back to the sender, I said sorry if your feelings were hurt, lets worked it out I waited for 5 days and my sender don't have time to pick up the money back. I said to release the money so we can all move on, but GM was inconsolable he preferred to escalate the issue sending the money back wasting everybody's time, and jeopardizing the customer's life, GM could not take minor criticism, he would not fulfill his service to his customer, if his feeling was hurt. GROW UP  ",2024-04-29
Consumer,2,US,5,Fast,"Fast, safe and efficient service on both ends. ",2024-04-15
Shevy,2,GB,3,To send the money is no problem but…,To send the money is no problem but when you should receive the money on the Knicks and in Jamaica there is a lot of problems i.e. there is no money available to give you that amount of money that is not good for business,2024-05-02
Jesus,1,US,3,"Is not really good, because take long time ",Is not working ,2024-05-23
HASSAN BAKARR,7,GB,5,Prompt,"Prompt, reliability and excellent customer service. ",2024-05-02
Chidiebere,1,US,5,Easy to use,Twas easy to use and he customer is very helpful,2024-05-02
Robert Henrique,10,GB,5,User friendly,"User friendly, great rates, best way of sending money to my family",2024-05-02
Abas,1,GB,2,It not the price you say online.,No review text,2024-05-02
Edigar Pascoal,1,AU,5,I am grateful using MoneyGram,"I am grateful using MoneyGram, thank you",2024-05-03
GRADY HELSETH,5,US,4,Recent fee increase is not appreciated.,No review text,2024-05-19
Ayaz,1,US,5,Right on time delivery,Right on time delivery ,2024-05-09
Daniela Leao,2,US,5,Super easy to use with the App,Super easy to use with the App. Love the convenience ,2024-05-02
Oluwatosin,1,EG,5,Convinient,Easy and convenient from your home.,2024-05-06
David Rose,2,GB,5,I love MoneyGram,I love MoneyGramVery simple to use and easy to understand 10/10,2024-05-02
Shyquri Hasaj,3,GB,5,Quik and easy thing,Quik and easy thing ,2024-05-23
Patrick,1,US,5,Great ,Very easy to use and my family receives it quickly,2024-04-24
Francisco,1,SV,4,Never had a problem,"Easy to make a transfer, The money is received on time and fast all the time.",2024-04-03
Harry,1,US,5,Efficiently fast,Easy to repeat transfer.,2024-04-14
Fabrizio,1,US,5,Excellent services,"Excellent services, totally recommended ",2024-05-22
Shyamal,1,AU,5,Excellent service provided,Excellent service provided ,2024-05-08
Edris Kibalama,2,GB,5,convenient for me and fast,Very convenient for me and fast too,2024-03-19
Carol,1,US,5,Very efficient. ,Very efficient thank you.,2024-04-10
customer,9,US,5,Straightforward,"Straightforward, and easy to do. ",2024-04-11
Mrs S Woods,15,GB,5,Ease of use.,Ease of use.Competition rates ,2024-04-11
Joby George,1,GB,5,Fantastic ,Cheapest rate to send money.moneygram so fast and secure ,2023-10-04
Carlito,4,GB,4,Because MinayGaram is faster & Quickly…,"Because MinayGaram is faster, Quickly & also easy",2024-05-02
Arturo Fernandez,2,US,5,Fast reliable service!,No review text,2024-05-06
Dorcas Impraim,3,US,5,Good with the information on both…,Good with the information on both sending and receiving ,2024-04-19
Pedro,3,GB,5,Quick and easy!,No review text,2024-05-12
Bunna,1,US,5,Fast,"Fast, reliable and easy ",2024-05-02
Joanne,1,AU,5,Awesome amazing,Awesome amazing ,2024-05-09
Jesse,1,GB,5,Amazing app,No review text,2024-05-01
Emmanuel Boakye,4,GH,5,Reliable and convenient,Reliable and convenient ,2024-05-11
Oana-Lavinia,6,GB,5,Excellent service,Excellent service ,2024-05-01
Sahin,1,US,5,Good transfer ,Good transfer,2024-05-04
Nighat,1,US,4,Company doing excellent ,No review text,2024-05-10
Ali,1,US,4,Everything went fine,"Everything went fine, but the fee is delivered too much",2024-04-29
Stacey-Ann,1,US,5,Easily convenient..,No review text,2024-05-22
Marsela,1,US,5,Not any trouble sending money so far,No review text,2024-04-08
SusannaSmith-Layne,4,GB,5,Safe,"Safe, quick, reliable. ",2024-04-30
Finau,1,US,5,Thank you for your good fast service,No review text,2024-05-03
George,1,US,5,Good ,On time payment ,2024-05-03
Simona,1,DE,5,Efficient way ,"Easy to send, intuitive process",2024-05-08
Sumti,1,US,4,The charge fee is low and money arrive…,The charge fee is low and money arrive pretty fast,2024-04-17
Oksana,1,US,5,The fastest way to send money to Europe,The fastest way to send money to Europe ,2024-04-09
Maveh,2,MX,5,Fast and easy money transfer,No review text,2024-05-02
customer,4,GB,5,All time clear and son time,No review text,2024-04-01
Hacen,1,US,5,Fast and secure.,No review text,2024-04-23
Hiki,2,AU,5,I like the fast and awesome rates!,I like the fast and awesome rates! ,2024-05-03
Ahmet,1,GB,5,Very satisfied ,Update is very fast ,2024-03-03
Ubaidullah,1,US,5,Good and on time service,Good and on time service ,2024-05-01
Ali Elhassan,2,US,5,Great convenient service,"Great convenient service, money available immediately ",2024-04-08
Muhamed,1,GB,5,Everything was easy to do,No review text,2024-05-01
customer,4,GB,1,You have blocked me,You have blocked me. I can’t use money gram anymore? Why is that.,2024-04-24
Jeniffer  Nicholson-Medford,3,GB,4,Happy with the service,No review text,2024-05-02
Olivet,2,AU,5,Efficient ,Nice and easy. Rate was good. Fee was good.b,2024-05-01
customer,2,GB,5,I’m happy for this thank you,I’m happy for this thank you ,2024-05-02
Jay,1,GB,4,Money gram has been great,"Money gram has been great, love it ",2024-05-02
Evelyn,1,US,3,I was very happy sending money every month but today the fee is too high compared with the transfers I made before from $1.99 to 10.99 with debit card ,I was very happy sending money ,2024-05-02
Faithiago,1,GB,5,Very good very easy very fast,No review text,2024-04-30
Greta,1,BG,5,Quick and easy,Very quick and easy ,2024-04-14
Dixie,1,US,5,Fast…,Fast…. reliable service,2024-05-02
Yassine,1,US,5,Great ,Thank you so much ,2024-05-02
Olivier,1,US,5,You should only use MoneyGram they have best service ever,I just love it ,2024-05-02
Anita Grant,22,GB,5,Fast and safe,No review text,2024-05-02
Suzanne,1,US,5,Outstanding 👍,No review text,2024-05-07
Michael,3,AU,5,Excellent service.,Excellent service. ,2024-04-25
Rups Vatuloka,5,GB,5,Excellent Service,Excellent Service ,2024-05-01
B.Ndlovu ,3,GB,5,Excellent service,Excellent service ,2024-05-01
Tee,2,GB,1,Stopped working ???,"After using this app everything was working just great until one day, I was trying to send the same person and I won’t allow me to send anymore??? ",2024-04-10
Megan Hitchins,3,GB,5,When using money gram I have found it very quick & so easy to use,My experiences so far have been quick & have found it so easy to use ,2024-05-02
Ramesh,6,GB,5,I transferred money to USA but it did…,I transferred money to USA but it did not go but when I phoned and got through to a person he was efficient and explained the reasons . The money was then transferred easily ,2024-04-26
dennis a,7,GB,3,Little problemes,"I have used the service a few times before and most times there is always a little problem, such as try later waiting approval from your bank. But generally its works OK.",2024-04-22
Vira Dickinson,3,GB,5,I like this moneygram app,"I like this moneygram app, it works very fast, never had any problems.",2024-05-02
BillShort,8,GB,5,"Easy to use , safe.","Easy to use safe way of sending money to almost anywhere in the wold. At first seemed a bit confusing but once you go though the process you think, that was easy.",2024-04-22
Isabel,1,GB,5,I Happy to use the money gram because…,I Happy to use the money gram because it is helpful for me to send the money to my country.  Thank you ,2024-05-02
Nicu Sava,2,GB,5,O experienta foarte buna,No review text,2024-05-02
Stephen Marsh,2,MW,5,Process of login was simple and…,"Process of login was simple and efficient, as was the process for sending money.",2024-05-01
Mr Cooper,2,GB,5,EASY and convenient using MoneyGram…,It was my first time using MoneyGram and it was easy to use and the pick up point a short distance.,2024-04-11
Muhammad Raja,2,GB,1,My experience with MoneyGram was…,"My experience with MoneyGram was unsatisfactory. The transaction process was slow, customer service was unresponsive.I would not recommend using MoneyGram for money transfers based on my experience. Payment was received after 25 hours, whereas other companies, like wise banks, send money within 10 minutes.",2024-05-01
Neville,1,GB,4,In February I was in Thailand and tried…,In February I was in Thailand and tried to use your services.  But even using my English sim card it would not let me send any money.  Is there a reason for this.,2024-02-08
Januario,1,GB,5,Verry God ,I really happy to use this company ,2024-05-01
Mayada,5,GB,5,Good and quick to send money in minutes…,Good and quick to send money in minutes 👍,2024-04-26
Kaushik,2,GB,5,"MoneyGram, the go-to app for International Money Transfer ","MoneyGram is the go-to app for International Money Transfer, really simple, user-friendly, & most importantly, it’s reasonably priced, I’d give them a 3 Cheers ",2024-04-22
Nicu,1,GB,5,Monygram îs very good,No review text,2024-05-02
Fazal,1,GB,5,Easy and efficient to use,Easy and efficient to use ,2024-04-16
Ayana  Nyamadzawo,2,GB,5,Easy to use app.,Easy to use app. ,2024-05-02
kemme,2,GB,5,Fantastic service,Fantastic service ,2024-04-29
Cesar,1,US,5,Fast and secure,No review text,2024-04-15
Mr J Nyamakanga,2,GB,5,Best transfer service available,Haven't been let down by moneygram yet and I have been using them for many year. Easy transfers via the app and available in minutes. Can't think of a better way to transfer,2024-04-28
Majed,14,GB,5,Good service,No review text,2024-04-12
Alex Alexandru,13,GB,5,Love it very fast and very easy!!!,No review text,2024-03-13
Pascoal,4,GB,5,Very happy with money gram,No review text,2024-05-02
Marie Junglee,3,GB,5,The exchange rate is better than Western Union,I've never had any issues so far,2024-04-04
Bibi Farzanah,4,GB,5,Very quick reliable,Very quick reliable. Good rates,2024-04-18
