Date,Open,High,Low,Close,Adj Close,Volume
2022-09-13,946.000000,953.900024,933.000000,948.799988,948.799988,9651873
2022-09-14,941.000000,958.799988,939.000000,947.849976,947.849976,8500355
2022-09-15,955.000000,972.700012,950.400024,968.549988,968.549988,8703534
2022-09-16,970.250000,976.450012,926.150024,938.200012,938.200012,10712402
2022-09-19,942.900024,972.599976,935.299988,959.599976,959.599976,7922869
2022-09-20,974.200012,987.849976,967.000000,970.250000,970.250000,7539047
2022-09-21,974.000000,976.099976,917.099976,932.900024,932.900024,13178269
2022-09-22,933.900024,953.500000,928.049988,946.650024,946.650024,8855564
2022-09-23,950.000000,950.849976,910.150024,913.799988,913.799988,6646619
2022-09-26,909.000000,909.900024,855.250000,863.400024,863.400024,9880236
2022-09-27,861.000000,875.000000,833.799988,844.200012,844.200012,11598728
2022-09-28,835.900024,847.000000,823.349976,827.099976,827.099976,7040943
2022-09-29,839.000000,847.500000,813.049988,816.400024,816.400024,7476709
2022-09-30,822.500000,830.450012,801.000000,820.650024,820.650024,10406215
2022-10-03,821.000000,834.400024,773.150024,784.400024,784.400024,12903551
2022-10-04,804.000000,826.299988,790.099976,823.049988,823.049988,10445528
2022-10-06,832.900024,835.000000,822.299988,824.099976,824.099976,6175752
2022-10-07,821.000000,826.000000,806.349976,816.900024,816.900024,6086925
2022-10-10,807.500000,813.950012,799.000000,808.099976,808.099976,4642360
2022-10-11,814.000000,820.599976,795.250000,797.349976,797.349976,6193388
2022-10-12,801.000000,806.500000,786.349976,803.900024,803.900024,5628537
2022-10-13,807.000000,811.750000,777.000000,784.750000,784.750000,7491563
2022-10-14,804.000000,806.599976,778.250000,780.099976,780.099976,4562526
2022-10-17,782.099976,789.950012,771.650024,786.200012,786.200012,4602870
2022-10-18,791.450012,815.000000,790.500000,809.950012,809.950012,7372253
2022-10-19,814.000000,823.450012,801.150024,805.049988,805.049988,5222275
2022-10-20,801.000000,822.250000,795.049988,820.049988,820.049988,4481441
2022-10-21,824.200012,824.200012,799.400024,801.650024,801.650024,5266210
2022-10-24,808.000000,810.000000,802.000000,805.500000,805.500000,665021
2022-10-25,806.700012,812.750000,797.099976,800.349976,800.349976,4485050
2022-10-27,805.000000,824.000000,795.000000,821.250000,821.250000,7110289
2022-10-28,824.000000,834.799988,817.299988,820.299988,820.299988,6898541
